model,seed,epoch,train_loss,train_acc,val_loss,val_acc
ViT,0,127,0.6055159653936114,0.6715,0.6406235918402672,0.608
ViT,0,128,0.6053509437848651,0.6715,0.640724491328001,0.608
ViT,0,129,0.605169827975924,0.67,0.6409390643239021,0.606
ViT,0,130,0.6050988643888443,0.6705,0.6409638002514839,0.608
ViT,0,131,0.6050550956574697,0.67,0.6408307962119579,0.608
ViT,0,132,0.605072590093764,0.672,0.6407474912703037,0.608
ViT,0,133,0.605042316610851,0.6695,0.6406950652599335,0.608
ViT,0,134,0.6050506678838579,0.6715,0.6404886394739151,0.606
ViT,0,135,0.6050596360176329,0.6715,0.6404535919427872,0.606
ViT,0,136,0.6050461767211793,0.6715,0.640439759939909,0.606
ViT,0,137,0.6050556197999015,0.6715,0.6404203325510025,0.606
ViT,0,138,0.6051167155069018,0.6715,0.640360027551651,0.606
ViT,0,139,0.6050751020037939,0.672,0.6403872966766357,0.604
ViT,0,140,0.6050796622321719,0.671,0.6403770446777344,0.604
ViT,0,141,0.6050886795634315,0.67,0.6403752118349075,0.606
ViT,0,142,0.605048294105227,0.6705,0.6404197104275227,0.606
ViT,0,143,0.6050362293682401,0.671,0.640417717397213,0.604
ViT,0,144,0.6050308696807377,0.6705,0.640419714152813,0.604
ViT,0,145,0.605000428737156,0.673,0.6404326558113098,0.606
ViT,0,146,0.6049889941064138,0.672,0.6404286324977875,0.604
ViT,0,147,0.6049851538643004,0.672,0.6404302082955837,0.604
ViT,0,148,0.604980344810183,0.672,0.6404327936470509,0.604
ViT,0,149,0.6049786295209613,0.672,0.6404334902763367,0.604
ViT,0,150,0.6049781517376975,0.672,0.6404336281120777,0.604
ViT,1,1,0.6931215430062915,0.5,0.6930607259273529,0.5
ViT,1,2,0.6931788646985614,0.5,0.6930775977671146,0.5
ViT,1,3,0.6930403179592557,0.5005,0.6930564343929291,0.5
ViT,1,4,0.6930284168985155,0.5,0.6930352300405502,0.5
ViT,1,5,0.6930755518731617,0.5,0.6930080465972424,0.5
ViT,1,6,0.6930138336287605,0.5,0.6929803416132927,0.5
ViT,1,7,0.6929790822286455,0.5,0.6929773576557636,0.5
ViT,1,8,0.6929522904138716,0.513,0.692977137863636,0.506
ViT,1,9,0.6929303379285903,0.5005,0.6929398700594902,0.5
ViT,1,10,0.6929514937930636,0.5,0.6928947903215885,0.5
ViT,1,11,0.6929234237897963,0.5,0.6928634569048882,0.5
ViT,1,12,0.6928520391857813,0.5,0.6928348876535892,0.5
ViT,1,13,0.6927976447438436,0.5,0.6928043849766254,0.5
ViT,1,14,0.6927591344666859,0.5,0.6927580051124096,0.5
ViT,1,15,0.6927273822209191,0.5,0.6926973648369312,0.5
ViT,1,16,0.6926441750829182,0.5,0.69262420758605,0.5
ViT,1,17,0.6925240878074889,0.5065,0.6925309114158154,0.504
ViT,1,18,0.6923231132446773,0.5245,0.6923432312905788,0.522
ViT,1,19,0.691829384319366,0.545,0.6918581575155258,0.532
ViT,1,20,0.6900004063333783,0.59,0.6901124007999897,0.574
ViT,1,21,0.6802509994733901,0.601,0.6798881143331528,0.608
ViT,1,22,0.6680893160047985,0.6025,0.6676421947777271,0.612
ViT,1,23,0.653178798773932,0.6125,0.652862910181284,0.624
ViT,1,24,0.6455942723486159,0.6225,0.6481359638273716,0.624
ViT,1,25,0.6389946379358806,0.6375,0.6444297842681408,0.638
ViT,1,26,0.6321198495607527,0.6485,0.6410664543509483,0.65
ViT,1,27,0.6291819716256762,0.651,0.641303788870573,0.646
ViT,1,28,0.6240868076445565,0.6525,0.6373054534196854,0.64
ViT,1,29,0.6180551023710341,0.6645,0.6345936246216297,0.662
ViT,1,30,0.614037863791935,0.668,0.6311577931046486,0.65
ViT,1,31,0.6104176148535714,0.6725,0.6296441219747066,0.658
ViT,1,32,0.6082377807488517,0.6775,0.6240408383309841,0.658
ViT,1,33,0.6049380198357597,0.676,0.6223238185048103,0.65
ViT,1,34,0.6027405143730225,0.682,0.622415404766798,0.654
ViT,1,35,0.5994730662731897,0.6765,0.6217635944485664,0.654
ViT,1,36,0.5979390981651488,0.683,0.6189629957079887,0.654
ViT,1,37,0.5950486891799502,0.684,0.61716378480196,0.656
ViT,1,38,0.5943507126399449,0.6815,0.6145009137690067,0.67
ViT,1,39,0.5928814529426514,0.686,0.6128903143107891,0.668
ViT,1,40,0.5912925236754947,0.6845,0.6112585589289665,0.666
ViT,1,41,0.5906071393262773,0.6915,0.6101805679500103,0.664
ViT,1,42,0.5878365976469857,0.691,0.6094467081129551,0.67
ViT,1,43,0.5859928552120451,0.6905,0.6093334816396236,0.664
ViT,1,44,0.585100895828671,0.693,0.6078804321587086,0.674
ViT,1,45,0.583650005715234,0.693,0.6071569323539734,0.664
ViT,1,46,0.5819742991810753,0.689,0.6061823666095734,0.658
ViT,1,47,0.5814562137164767,0.691,0.6057661641389132,0.66
ViT,1,48,0.5802958465757824,0.6915,0.6046927608549595,0.662
ViT,1,49,0.5779921459773231,0.6965,0.6048511881381273,0.666
ViT,1,50,0.5776438268404158,0.6965,0.6037255488336086,0.67
ViT,1,51,0.5762384377774739,0.7005,0.6031510140746832,0.664
ViT,1,52,0.5750939074962859,0.6985,0.6022694651037455,0.666
ViT,1,53,0.574896150165134,0.696,0.6031504236161709,0.66
ViT,1,54,0.5730016666745382,0.7,0.6024682372808456,0.666
ViT,1,55,0.5718407853255196,0.6995,0.6009529866278172,0.67
ViT,1,56,0.5702135974452609,0.699,0.6005154848098755,0.67
ViT,1,57,0.5700753241304367,0.7005,0.6000570189207792,0.668
